ParkID,Name,Official,StreetNumber,StreetName,EWStreet,NSStreet,GoogleMapDest,Hectare,NeighbourhoodName,NeighbourhoodURL,Advisories,Facilities,SpecialFeatures,Washrooms
136,Guelph Park,1,2390,Brunswick Street,E 7th Avenue,Brunswick Street,"49.263965,-123.095837",1.04,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
137,Jonathan Rogers Park,1,110,W 7th Avenue,W 7th Avenue,Manitoba Street,"49.264334,-123.108174",1.4,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,Y
138,Major Matthews Park,1,2627,Manitoba Street,W 11th Avenue,Manitoba Street,"49.261580,-123.107238",0.06,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
139,Mount Pleasant Park,1,3161,Ontario Street,W 16th Avenue,Ontario Street,"49.256960,-123.106743",1.12,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
140,Robson Park,1,599,Kingsway,Kingsway,St. George Street,"49.258229,-123.091798",1.56,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,Y
141,Tea Swamp Park,1,266,E 15th Avenue,E 15th Avenue,Sophia Street,"49.257091,-123.098595",0.09,Mount Pleasant,http://vancouver.ca/community_profiles/mount_pleasant/index.htm,N,Y,N,N
142,Cambie Park,1,500,W 54th Avenue,W 54th Avenue,Cambie Street,"49.221411,-123.117988",0.93,Oakridge,http://vancouver.ca/community_profiles/oakridge/index.htm,N,N,N,N
143,Columbia Park,1,5908,Alberta Street,W 42nd Avenue,Alberta Street,"49.231521,-123.111978",2.78,Oakridge,http://vancouver.ca/community_profiles/oakridge/index.htm,N,Y,N,Y
145,Langara Golf Course,1,6706,Alberta Street,W 49th Avenue,Alberta Street,"49.221371,-123.112110",48.57,South Cambie,http://vancouver.ca/community_profiles/south_cambie/index.htm,N,Y,N,N
146,Montgomery Park,1,1040,W 43rd Avenue,W 43rd Avenue,Montgomery Street,"49.231291,-123.130776",4.02,Oakridge,http://vancouver.ca/community_profiles/oakridge/index.htm,N,Y,N,Y
147,Tisdall Park,1,6210,Tisdall Street,W 49th Avenue,Tisdall Street,"49.227725,-123.119693",5.02,Oakridge,http://vancouver.ca/community_profiles/oakridge/index.htm,N,Y,Y,N
148,Beaconsfield Park,1,3215,Slocan Street,E 15th Avenue,Slocan Street,"49.255546,-123.051302",4.43,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,Y
149,Cariboo Park,1,3450,E 29th Avenue,E 29th Avenue,Cariboo Street,"49.244232,-123.028792",0.77,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
150,Carleton Park,1,3450,Price Street,Price Street,Joyce Street,"49.242002,-123.030451",0.68,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,Y,Y,N,N
151,Collingwood Park,1,5275,McKinnon Street,Euclid Street,McKinnon Street,"49.237066,-123.036887",1.27,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,Y
152,Earles Park,1,2801,E 41st Avenue,E 41st Avenue,Earles Street,"49.233476,-123.047702",1.59,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
153,Falaise Park,1,3434,Falaise Avenue,Worthington Drive,Falaise Avenue,"49.256485,-123.031631",7.57,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,Y
154,Foster Park,1,5501,Aberdeen Street,Foster Avenue,Aberdeen Street,"49.234046,-123.028741",0.29,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
155,Gaston Park,1,3470,Crowley Drive,Crowley Drive,Tyne Street,"49.236117,-123.031094",1.5,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
156,Melbourne Park,1,3530,Vanness Avenue,Vanness Avenue,Melbourne Street,"49.236236,-123.029179",0.49,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
157,Norquay Park,1,5050,Wales Street,Kingsway,Wales Street,"49.237098,-123.051061",2.26,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,Y
158,Price Park,1,3650,Price Street,Price Street,Boundary Road,"49.251572,-123.097564",0.35,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
159,Renfrew Community Park,1,2929,E 22nd Avenue,E 22nd Avenue,Renfrew Street,"49.252129,-123.042896",5,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,N
160,Renfrew Ravine Park,1,3900,Renfrew Street,E 24th Avenue,Renfrew Street,"49.247166,-123.044111",5.89,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,N,N,N
161,Slocan Park,1,2750,E 29th Avenue,E 29th Avenue,Slocan Street,"49.243921,-123.047574",4.14,Renfrew-Collingwood,http://vancouver.ca/community_profiles/renfrew-collingwood/index.htm,N,Y,N,Y
162,Cartier Park,1,390,E 36th Avenue,E 36th Avenue,Prince Edward Street,"49.237598,-123.097473",0.37,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,N
163,Grimmett Park,1,169,E 19th Avenue,E 19th Avenue,Quebec Street,"49.253954,-123.102003",0.24,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,N,N,N
164,Hillcrest Park,1,4501,Clancy Loranger Way,Midlothian Avenue,Clancy Loranger Way,"49.244734,-123.108417",7.51,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,N
165,Nat Bailey Stadium,1,4601,Ontario Street,W 30th Avenue,Ontario Street,"49.242653,-123.106679",6.21,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,N
166,Prince Edward Park,1,3773,Prince Edward Street,E 21st Avenue,Prince Edward Street,"49.244397,-123.156429",1.21,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,Y
167,Queen Elizabeth Park,1,4600,Cambie Street,W 29th Avenue,Cambie Street,"49.240978,-123.112028",52.98,Riley-Little Mountain,http://vancouver.ca/community_profiles/riley_park/index.htm,N,Y,N,Y
